s66_number,name,magmoms,interaction energies s66x8,dimer atoms,description
28,BenzeneUracilpipi,,"[-0.1531, -0.2264, -0.2476, -0.2407, -0.2203, -0.1427, -0.059, -0.0108]","[12, 12]",dispersion pi-pi
54,BenzeneWaterOHpi,,"[-0.1214, -0.1392, -0.1418, -0.1357, -0.1258, -0.0911, -0.0503, -0.0182]","[12, 3]",mixed
38,CyclopentaneCyclopentane,,"[-0.0971, -0.1232, -0.1301, -0.124, -0.1127, -0.0742, -0.0343, -0.0087]","[15, 15]",dispersion aliphatic-aliphatic
37,CyclopentaneNeopentane,,"[-0.0698, -0.0976, -0.1045, -0.101, -0.0928, -0.0637, -0.0308, -0.0082]","[15, 17]",dispersion aliphatic-aliphatic
44,EthenePentane,,"[-0.072, -0.0854, -0.0863, -0.0807, -0.0724, -0.0473, -0.0212, -0.0052]","[6, 17]",dispersion pi-aliphatic
60,EthyneAcOHOHpi,,"[-0.1856, -0.2073, -0.2107, -0.2034, -0.1904, -0.1414, -0.0768, -0.0243]","[4, 8]",mixed
51,EthyneEthyneTS,,"[-0.0525, -0.0637, -0.0659, -0.0633, -0.0585, -0.0403, -0.0199, -0.0061]","[4, 4]",mixed T-shape
45,EthynePentane,,"[-0.049, -0.0707, -0.0759, -0.0729, -0.0659, -0.0425, -0.0182, -0.0043]","[4, 17]",dispersion pi-aliphatic
59,EthyneWaterCHO,,"[-0.1093, -0.1214, -0.1236, -0.1197, -0.1127, -0.0859, -0.0507, -0.0199]","[4, 3]",mixed
10,MeNH2MeNH2,,"[-0.1604, -0.1774, -0.18, -0.1739, -0.1626, -0.121, -0.0568, -0.0169]","[7, 7]",h-bond
09,MeNH2MeOH,,"[-0.1219, -0.1318, -0.1318, -0.1258, -0.1166, -0.0859, -0.0477, -0.0169]","[7, 6]",h-bond
11,MeNH2Peptide,,"[-0.2147, -0.2324, -0.2346, -0.2272, -0.2142, -0.1392, -0.0607, -0.0199]","[7, 12]",h-bond
66,MeNH2Pyridine,,"[-0.1496, -0.1683, -0.1722, -0.167, -0.157, -0.1175, -0.065, -0.0212]","[7, 11]",mixed
12,MeNH2Water,,"[-0.2927, -0.3122, -0.3144, -0.3048, -0.2888, -0.2264, -0.1366, -0.052]","[7, 3]",h-bond
06,MeOHMeNH2,,"[-0.3022, -0.3239, -0.327, -0.3183, -0.3022, -0.2385, -0.1453, -0.0551]","[6, 7]",h-bond
05,MeOHMeOH,,"[-0.229, -0.2467, -0.2493, -0.242, -0.229, -0.1795, -0.1093, -0.0438]","[6, 6]",h-bond
07,MeOHPeptide,,"[-0.3309, -0.353, -0.3565, -0.3478, -0.3322, -0.268, -0.1583, -0.0477]","[6, 12]",h-bond
19,MeOHPyridine,,"[-0.294, -0.317, -0.3209, -0.3135, -0.2983, -0.2376, -0.1466, -0.0577]","[6, 11]",2 h-bond
08,MeOHWater,,"[-0.199, -0.2147, -0.2168, -0.2103, -0.199, -0.1557, -0.0954, -0.0395]","[6, 3]",h-bond
36,NeopentaneNeopentane,,"[-0.0629, -0.0755, -0.0768, -0.0729, -0.0668, -0.0455, -0.0217, -0.0061]","[17, 17]",dispersion aliphatic-aliphatic
35,NeopentanePentane,,"[-0.0802, -0.108, -0.1132, -0.1075, -0.0976, -0.065, -0.0304, -0.0078]","[17, 17]",dispersion aliphatic-aliphatic
62,PentaneAcNH2,,"[-0.1366, -0.1518, -0.1522, -0.144, -0.1318, -0.0919, -0.0451, -0.0117]","[17, 9]",mixed
61,PentaneAcOH,,"[-0.1171, -0.1258, -0.1249, -0.1184, -0.1093, -0.0776, -0.0338, -0.0074]","[17, 8]",mixed
34,PentanePentane,,"[-0.124, -0.157, -0.1635, -0.1565, -0.1431, -0.0971, -0.0455, -0.0117]","[17, 17]",dispersion aliphatic-aliphatic
64,PeptideEthene,,"[-0.1127, -0.1279, -0.1297, -0.1236, -0.114, -0.0807, -0.0382, -0.0082]","[12, 6]",mixed
14,PeptideMeNH2,,"[-0.2953, -0.3183, -0.3231, -0.3161, -0.3022, -0.2433, -0.1539, -0.0646]","[12, 7]",h-bond
13,PeptideMeOH,,"[-0.2459, -0.265, -0.268, -0.2615, -0.2489, -0.1995, -0.1279, -0.0564]","[12, 6]",h-bond
46,PeptidePentane,,"[-0.1626, -0.1826, -0.1839, -0.1756, -0.1617, -0.114, -0.0516, -0.0126]","[12, 17]",dispersion pi-aliphatic
15,PeptidePeptide,,"[-0.3478, -0.3699, -0.3738, -0.3664, -0.3512, -0.2888, -0.1917, -0.0768]","[12, 12]",h-bond
16,PeptideWater,,"[-0.2038, -0.2194, -0.222, -0.216, -0.2055, -0.1644, -0.1062, -0.049]","[12, 3]",h-bond
33,PyridineEthene,,"[-0.0386, -0.0702, -0.0807, -0.0794, -0.0724, -0.0447, -0.016, -0.0022]","[11, 6]",dispersion pi-pi
65,PyridineEthyne,,"[-0.1535, -0.1696, -0.173, -0.1687, -0.1596, -0.1232, -0.0724, -0.0269]","[11, 4]",mixed
58,PyridinePyridineCHN,,"[-0.1214, -0.1657, -0.18, -0.1687, -0.1496, -0.0945, -0.0438, -0.0121]","[11, 11]",mixed
48,PyridinePyridineTS,,"[-0.1097, -0.1435, -0.1531, -0.1496, -0.1396, -0.0993, -0.0512, -0.016]","[11, 11]",mixed T-shape
25,PyridinePyridinepipi,,"[-0.0572, -0.1375, -0.1661, -0.1674, -0.1552, -0.1023, -0.0416, -0.0104]","[11, 11]",dispersion pi-pi
29,PyridineUracilpipi,,"[-0.1622, -0.2676, -0.2953, -0.2853, -0.2589, -0.1678, -0.0772, -0.023]","[11, 12]",dispersion pi-pi
42,UracilCyclopentane,,"[-0.1323, -0.1722, -0.1791, -0.17, -0.1535, -0.0993, -0.0442, -0.0108]","[12, 15]",dispersion pi-aliphatic
31,UracilEthene,,"[-0.1114, -0.1405, -0.1466, -0.1405, -0.1284, -0.0863, -0.0403, -0.0108]","[12, 6]",dispersion pi-pi
32,UracilEthyne,,"[-0.121, -0.1544, -0.1622, -0.1557, -0.1427, -0.0967, -0.0451, -0.0117]","[12, 4]",dispersion pi-pi
43,UracilNeopentane,,"[-0.1245, -0.1561, -0.1604, -0.1513, -0.1366, -0.0889, -0.0399, -0.01]","[12, 17]",dispersion pi-aliphatic
41,UracilPentane,,"[-0.1661, -0.2034, -0.2099, -0.1995, -0.1769, -0.1058, -0.0425, -0.0091]","[12, 17]",dispersion pi-aliphatic
17,UracilUracilBP,,"[-0.6808, -0.7329, -0.745, -0.7311, -0.7012, -0.5702, -0.3621, -0.1444]","[12, 12]",2 h-bond
26,UracilUracilpipi,,"[-0.3408, -0.412, -0.4258, -0.4089, -0.3768, -0.2632, -0.1344, -0.0429]","[12, 12]",dispersion pi-pi
03,WaterMeNH2,,"[-0.2814, -0.2979, -0.2983, -0.2884, -0.2723, -0.2134, -0.1292, -0.0494]","[3, 7]",h-bond
02,WaterMeOH,,"[-0.2251, -0.2407, -0.2415, -0.2333, -0.2203, -0.1709, -0.1036, -0.0412]","[3, 6]",h-bond
04,WaterPeptide,,"[-0.3309, -0.3495, -0.3504, -0.34, -0.3235, -0.2598, -0.1661, -0.0624]","[3, 12]",h-bond
18,WaterPyridine,,"[-0.2771, -0.2949, -0.2962, -0.2871, -0.2719, -0.2138, -0.1305, -0.0516]","[3, 11]",2 h-bond
01,WaterWater,,"[-0.1982, -0.2116, -0.2121, -0.2047, -0.193, -0.15, -0.0915, -0.0377]","[3, 3]",h-bond
