Dataset,System,mCAML prediction (eV or GPa or Å resp.),difference to target (eV or GPa or Å resp.)
BM32,C_diamond,452.4,-0.9
BM32,Ca_fcc,16.3,-2.4
BM32,Cu_fcc,197.1,52.2
BM32,GaAs_zincblende,74.8,-3.3
BM32,GaN_zincblende,191.2,-12.9
BM32,GaP_zincblende,89.8,0
BM32,Ge_diamond,72.1,-5.8
BM32,InAs_zincblende,58.1,-0.4
BM32,InP_zincblende,71.4,-2.1
BM32,Li_bcc,20.5,7.1
BM32,LiCl_rocksalt,33.8,-3.5
BM32,LiF_rocksalt,76.9,1.5
BM32,LiH_rocksalt,36.5,-3.6
BM32,MgO_rocksalt,178.2,5.2
BM32,Na_bcc,8.7,1
BM32,NaCl_rocksalt,32.4,3.2
BM32,NaF_rocksalt,72.5,18.4
BM32,Pd_fcc,165.4,-32
BM32,Rh_fcc,287.9,16.3
BM32,Si_diamond,99.3,-1
BM32,SiC_zincblende,228.7,-0.2
BM32,Sn_diamond,38.6,-14.9
BM32,Sr_fcc,10.6,-1.9
LC57,Ag_fcc,4.144,0.081
LC57,Al_fcc,3.995,-0.024
LC57,AlAs_zincblende,5.76,0.113
LC57,AlN_zincblende,4.368,0
LC57,AlP_zincblende,5.502,0.054
LC57,Au_fcc,4.142,0.081
LC57,Ba_bcc,5.854,0.851
LC57,BAs_zincblende,4.86,0.095
LC57,BN_zincblende,3.629,0.036
LC57,BP_zincblende,4.516,-0.009
LC57,C_diamond,3.553,0
LC57,Ca_fcc,5.887,0.333
LC57,CaO_rocksalt,4.877,0.096
LC57,CoAl_cesiumchloride,2.76,-0.094
LC57,Cu_fcc,3.517,-0.079
LC57,Fe_bcc,2.761,-0.097
LC57,FeAl_cesiumchloride,2.757,-0.124
LC57,GaAs_zincblende,5.804,0.169
LC57,GaN_zincblende,4.644,0.135
LC57,GaP_zincblende,5.597,0.163
LC57,Ge_diamond,5.928,0.282
LC57,InAs_zincblende,6.271,0.241
LC57,InP_zincblende,6.145,0.293
LC57,Ir_fcc,3.91,0.077
LC57,K_bcc,5.781,0.573
LC57,Li_bcc,3.265,-0.186
LC57,LiCl_rocksalt,5.427,0.355
LC57,LiF_rocksalt,4.251,0.278
LC57,LiH_rocksalt,4.456,0.477
LC57,MgO_rocksalt,4.273,0.084
LC57,MgS_rocksalt,5.24,0.052
LC57,Mo_bcc,3.122,-0.019
LC57,Na_bcc,4.377,0.168
LC57,NaCl_rocksalt,5.628,0.056
LC57,NaF_rocksalt,4.385,-0.197
LC57,Nb_bcc,3.359,0.066
LC57,NbC_rocksalt,4.506,0.045
LC57,NbN_rocksalt,4.677,0.306
LC57,Ni_fcc,3.461,-0.046
LC57,NiAl_cesiumchloride,2.806,-0.075
LC57,Pd_fcc,4.109,0.233
LC57,Pt_fcc,3.909,-0.004
LC57,Rb_bcc,5.577,0
LC57,Rh_fcc,3.775,-0.019
LC57,Si_diamond,5.475,0.054
LC57,SiC_zincblende,4.39,0.043
LC57,Sn_diamond,6.862,0.388
LC57,Sr_fcc,6.463,0.423
LC57,Ta_bcc,3.263,-0.036
LC57,TiC_rocksalt,4.219,-0.099
LC57,TiN_rocksalt,4.313,0.085
LC57,V_bcc,2.869,-0.154
LC57,VC_rocksalt,4.315,0.166
LC57,VN_rocksalt,4.04,-0.082
LC57,W_bcc,3.16,0
LC57,ZrC_rocksalt,4.631,-0.056
LC57,ZrN_rocksalt,4.621,0.046
DBH24,H + N2O <= OH + N2,3.131,2.276
DBH24,H + N2O => OH + N2,0.434,0.256
DBH24,H + ClH <= HCl + H ,0.56,0.373
DBH24,H + ClH => HCl + H ,0.56,0.373
DBH24,CH3 + FCl <= CH3F + Cl,1.921,1.299
DBH24,CH3 + FCl => CH3F + Cl,-0.106,-0.176
DBH24,Cl- ... CH3Cl <= ClCH3 ... Cl-,0.405,0.266
DBH24,Cl- ... CH3Cl => ClCH3 ... Cl-,0.405,0.266
DBH24,F- ... CH3Cl <= FCH3 ... Cl-,1.074,0.769
DBH24,F- ... CH3Cl => FCH3 ... Cl-,0.01,-0.026
DBH24,OH- + CH3F <= HOCH3 + F-,0.545,0.362
DBH24,OH- + CH3F => HOCH3 + F-,-0.192,-0.167
DBH24,H + N2 <= HN2 ,0.441,0.331
DBH24,H + N2 => HN2 ,0.333,0.184
DBH24,H + C2H4 <= CH3CH2 ,1.866,1.433
DBH24,H + C2H4 => CH3CH2 ,0.011,-0.007
DBH24,HCN <= HNC ,1.198,0.858
DBH24,HCN => HNC ,1.814,1.316
DBH24,OH + CH4 <= CH3 + H2O ,0.365,0.162
DBH24,OH + CH4 => CH3 + H2O ,0.138,0.069
DBH24,H + OH <= O + H2,0.093,-0.043
DBH24,H + OH => O + H2,0.368,0.257
DBH24,H + H2S <= H2 + HS,0.634,0.455
DBH24,H + H2S => H2 + HS,0.043,0.006
RE42,1-3-cyclohexadiene → 1-4-cyclohexadiene,0,0.02
RE42,1-4-cyclohexadiene+2H2 → cyclohexane,-3.09,-0.15
RE42,2CO+2NO → 2CO2+N2,-7.33,0.61
RE42,2CO+O2 → 2CO2,-5.44,0.62
RE42,2MeOH+O2 → 2CO2+4H2,-2.01,1.1
RE42,2N2+O2 → 2N2O,1.49,-0.08
RE42,2OH+H2 → 2H2O,-5.1,1.09
RE42,3O2 → 2O3,2.96,0.04
RE42,4CO+9H2 → transbutane+4H2O,-9.27,-0.27
RE42,allene+2H2 → propane,-3.73,-0.09
RE42,C6H6+H2 → 1-4-cyclohexadiene,0.02,0.03
RE42,CH4+2Cl2 → CCl4+2H2,0.27,0.09
RE42,CH4+2F2 → CF4+2H2,-7.05,1.55
RE42,CH4+COH2 → EtOH,-1.2,-0.29
RE42,CH4+CO2 → 2CO +2H2,3.23,0.12
RE42,CH4+CO2 → acetic-acid,-0.02,-0.31
RE42,CH4+H2O → MeOH+H2,1.12,-0.21
RE42,CH4+NH3 → HCN +3H2,3.46,0.14
RE42,CO+2H2 → EtOH,-1.72,-0.24
RE42,CO+3H2 → CH4 H2O,-2.84,-0.04
RE42,CO+H2O → CO2 H2,-0.39,-0.08
RE42,CO+H2O → formic-acid,-0.73,-0.33
RE42,CO2+3H2 → MeOH+H2O,-1.33,-0.16
RE42,CO2+4H2 → CH4+2H2O,-2.45,0.05
RE42,EtOH → dimethylether,0.43,-0.11
RE42,ethyne+H2 → ethene,-2.35,-0.25
RE42,H2+O2 → H2O2,-1.57,0.11
RE42,isobutane → transbutane,0.06,-0.01
RE42,ketene+2H2 → ethene+H2O,-1.74,0.18
RE42,methylamine+H2 → CH4+NH3,-1.06,0.09
RE42,N2+2H2 → N2H4,0.14,-0.27
RE42,N2+2O2 → 2NO2,0.46,-0.17
RE42,N2+3H2 → 2NH3,-1.75,-0.07
RE42,N2+O2 → 2NO,1.89,0.01
RE42,O2+2H2 → 2H2O,-4.67,0.78
RE42,O2+4HCl → 2Cl2+2H2O,-1.28,0.23
RE42,O2+H2 → 2OH,0.44,-0.3
RE42,oxirane+H2 → ethene+H2O,-1.11,0.45
RE42,propene+H2 → propane,-1.67,-0.09
RE42,propyne+H2 → propene,-2.23,-0.23
RE42,SO2+3H2 → H2S+2H2O,-2.1,0.52
S66x8,MeNH2Pyridine,-0.147,0.025
S66x8,AcNH2AcNH2,-0.676,0.029
S66x8,BenzenePeptideNHpi,-0.198,0.031
S66x8,BenzeneWaterOHpi,-0.173,-0.031
S66x8,PyridineEthyne,-0.131,0.042
S66x8,MeOHWater,-0.24,-0.023
S66x8,BenzeneAcNH2NHpi,-0.173,0.016
S66x8,EthynePentane,-0.069,0.007
S66x8,AcOHUracil,-0.849,-0.004
S66x8,MeNH2MeNH2,-0.146,0.034
S66x8,EthyneWaterCHO,-0.119,0.005
S66x8,BenzenePyridineTS,-0.105,0.039
S66x8,CyclopentaneCyclopentane,-0.032,0.098
S66x8,BenzeneAcOHOHpi,-0.224,-0.02
S66x8,PeptideMeNH2,-0.276,0.047
S66x8,PyridinePyridineTS,-0.107,0.046
S66x8,WaterPeptide,-0.38,-0.03
S66x8,WaterMeOH,-0.263,-0.021
S66x8,EthenePentane,-0.044,0.042
S66x8,BenzeneEthyneCHpi,-0.112,0.012
S66x8,MeNH2Peptide,-0.207,0.028
S66x8,NeopentaneNeopentane,-0.016,0.06
S66x8,UracilEthyne,-0.186,-0.024
S66x8,PeptideEthene,-0.109,0.021
S66x8,PeptidePentane,-0.122,0.062
S66x8,NeopentanePentane,-0.038,0.075
S66x8,UracilPentane,-0.151,0.059
S66x8,UracilUracilpipi,-0.419,0.007
S66x8,BenzeneNeopentane,-0.087,0.038
S66x8,BenzeneBenzenepipi,-0.11,0.009
S66x8,BenzeneCyclopentane,-0.101,0.054
S66x8,UracilEthene,-0.15,-0.003
S66x8,PyridineEthene,-0.097,-0.016
S66x8,WaterPyridine,-0.285,0.011
S66x8,PyridinePyridineCHN,-0.1,0.08
S66x8,MeNH2MeOH,-0.123,0.009
S66x8,BenzeneMeOHOHpi,-0.194,-0.012
S66x8,UracilUracilBP,-0.718,0.027
S66x8,WaterWater,-0.239,-0.027
S66x8,MeNH2Water,-0.315,-0.001
S66x8,PentaneAcNH2,-0.111,0.041
S66x8,MeOHMeNH2,-0.31,0.017
S66x8,BenzeneEthene,-0.078,-0.017
S66x8,BenzenePyridinepipi,-0.136,0.01
S66x8,PentanePentane,-0.064,0.1
S66x8,MeOHPyridine,-0.296,0.025
S66x8,PyridinePyridinepipi,-0.156,0.01
S66x8,PeptideWater,-0.221,0.001
S66x8,BenzeneBenzeneTS,-0.087,0.038
S66x8,UracilCyclopentane,-0.125,0.054
S66x8,BenzeneMeNH2NHpi,-0.133,0.007
S66x8,WaterMeNH2,-0.297,0.001
S66x8,UracilNeopentane,-0.126,0.034
S66x8,EthyneEthyneTS,-0.065,0.001
S66x8,PentaneAcOH,-0.091,0.034
S66x8,MeOHMeOH,-0.263,-0.014
S66x8,AcNH2Uracil,-0.801,0.031
S66x8,MeOHPeptide,-0.368,-0.011
S66x8,CyclopentaneNeopentane,-0.026,0.08
S66x8,BenzeneUracilpipi,-0.24,0.008
S66x8,EthyneAcOHOHpi,-0.243,-0.032
S66x8,PeptidePeptide,-0.345,0.029
S66x8,PyridineUracilpipi,-0.285,0.01
S66x8,PeptideMeOH,-0.251,0.017
S66x8,AcOHAcOH,-0.87,-0.042
S66x8,BenzeneAcOH,-0.154,0.011
