name,y_ref,y_0,exch,corr
Si_diamond,4.681675396299154,-0.5310742330334222,"[4.65480669335885, -7.101232729846252, 9.578729806131403, -10.472504273247651, 9.645484496422798, -7.55592648887458, 4.90024780023726, -2.3686368857673, 0.4884101376824399, 0.46178690560468016]","[0.9784293543921594, 1.6532220782060705, 0.5009793072712]"
W_bcc,8.828684272985052,7.071090829238813,"[0.240729854603984, -5.800320433042003, 11.635670489127989, -14.526120538635993, 14.55655217049079, -12.685996193269403, 9.785572097613894, -6.601636386029597, 3.9053678679469996, -2.2267370200639007]","[2.5859556673810005, 3.8890770749140007, 1.3553835283]"
Ge_diamond,3.8631407672113367,-0.8618672884236176,"[4.181050458460703, -6.7555971269379995, 9.329420476507803, -10.19570521949645, 9.32860283813835, -7.415983868387599, 5.252636915386349, -3.3964296954080098, 2.05856933976922, -1.1724449538555302]","[0.9362679955532593, 1.62580721073099, 0.50151499548]"
MgO_b1,5.202864614935098,-1.3663173031922042,"[6.227543048690606, -8.140814128035046, 9.375210280526247, -8.334685931775098, 5.3506811616951, -1.6596579773094007, -1.4029569111302305, 2.9791139246409397, -2.919992465502915, 1.6919626220354105]","[0.8151404819882107, 1.2356362558547804, 0.48642798359940004]"
SiC_b3,6.477670088315611,-1.2359909039684212,"[7.063353758668647, -9.771209137000298, 12.536231834932003, -13.539365557024702, 12.573738904385252, -10.129754198855538, 6.96230026126485, -3.801368229250545, 1.212190584309035, 0.4874450291135716]","[1.1731338474878097, 1.9154658026574651, 0.47865126856819995]"
LiF_b1,4.45663702076114,-0.4463984780969099,"[4.575885972749553, -5.563874067293085, 5.41729409768061, -3.59121918636356, 1.2080211668561347, 0.5615229989734996, -1.157482046777508, 0.7607923422804959, 0.055488538254660824, -0.7723752057361448]","[0.6434095891065343, 0.7348371656991874, 0.291465183607]"
MgS_b1,4.031698404656043,-0.7864489536439123,"[4.298431065318894, -6.192060017292, 7.853015508928301, -7.973826413799351, 6.576564310439853, -4.205992043096501, 1.6465058333648699, 0.3005877864655897, -1.1185870233377448, 0.8292332418323154]","[0.662417005138856, 1.1990289088804102, 0.5850731200492001]"
Sr_fcc,1.7184607069099163,-1.1859541216761613,"[2.4202145306240084, -4.007312288245288, 5.804123629979799, -6.929772422674496, 7.292851469258601, -7.1365337423101, 6.844097598681703, -6.713815304389499, 6.830470970344898, -7.0819575716686]","[0.3995780726767997, 1.0238118143989006, 0.4217898124048]"
BP_b3,5.140678982087269,-0.8471414204891019,"[5.630849986172251, -8.299144943301247, 11.085040962357155, -12.30795081807518, 11.82540132264426, -10.088387991949654, 7.6980992490793145, -5.1640108520920895, 2.8332392631245247, -0.8868298777675654]","[1.109031895484625, 1.8256824688912645, 0.49983866082659995]"
AlN_b3,5.8454494876960075,-0.7911323561690295,"[5.877619065491849, -8.1295692900553, 10.084258416396302, -10.094332255474946, 8.166132169816436, -5.021432876038185, 1.578582124240266, 1.363847972866283, -3.2790303812260033, 3.983744426504078]","[1.2417072027032692, 1.7683042227988546, 0.43666439620260006]"
GaN_b3,4.549915470032885,-0.6303730129774934,"[4.5713035554270505, -7.240117030651746, 9.807967863966354, -10.393407283187198, 8.8989056897713, -6.060137715045576, 2.8383880317511103, -0.023133969488299932, -1.918752245844455, 2.862785297072855]","[1.1432935944695304, 1.8092275032137444, 0.41636366028980004]"
Ba_bcc,1.8839937672084726,-2.1389356222640004,"[3.6232374691931, -5.233445049787591, 6.742281015848491, -6.861627993014395, 5.417498170155298, -3.0900112751486972, 1.0117120638682984, -0.07220626767979965, 0.3898437661803982, -1.296953176749298]","[0.5163526732638992, 1.0791234108801007, 0.4661041576776]"
NaF_b1,3.9695162301198064,-0.49564551590344763,"[4.205772498947951, -5.099819481691448, 4.830717735365603, -3.1075596898762043, 1.1862428477326006, 0.08149339785252607, -0.5647048307220803, 0.4542859564994899, 0.030067504477310436, -0.6271464816933943]","[0.5918295153922397, 0.6749915014978844, 0.3182311220398]"
K_bcc,0.9402832310528938,-0.19855756891843157,"[0.7468636114030005, -1.425055794576494, 1.6425507095671037, -1.635674866884301, 2.0891080118980057, -2.6668815171275, 2.627054280971599, -1.8634745678763984, 1.0885693500416984, -1.022130302199999]","[0.40135914780250026, 0.6022295466550514, 0.22534001583280003]"
AlP_b3,4.321901482924176,-0.46464547868563244,"[4.097603525765848, -6.300812792360702, 8.433340310135854, -9.076394302241102, 8.229422025862734, -6.395815706208786, 4.1531937674444155, -1.9406522590949464, 0.00999411464427169, 1.560308420666768]","[1.0095867229116653, 1.575729797185689, 0.4927546460654]"
Fe_bcc,4.336009929252236,1.9745668229607816,"[2.761698068811995, -7.391116515666013, 12.691663661370995, -15.244192142080294, 14.0809047570825, -9.976298133157599, 4.665627504364203, -0.10261456266120206, -2.3110773190298985, 2.198854784329402]","[1.3132071413594009, 2.4998642324173996, 0.6040900514616]"
Pb_fcc,2.0400534931108676,-0.06723125300820243,"[2.891976868832984, -5.905074316720999, 8.508458483329008, -8.34594819756802, 5.5509430076469926, -1.6473785318137004, -1.5222118319916973, 2.7542869615339, -1.9063843817545063, -0.21658173538109793]","[0.8253498040390994, 1.612388473269501, 0.8339926530728]"
LiCl_b1,3.586038160891522,0.009897629282136222,"[3.1163658409546002, -4.115303528819389, 4.2615210442110545, -3.080994451627859, 1.3779992059276367, 0.06614322125084904, -0.7838409149957073, 0.7330695735380939, -0.23103999113523965, -0.26408024417949516]","[0.5655605881617847, 0.7368801679484873, 0.3634321236582]"
NaCl_b1,3.3372956295002028,-0.008101671203441185,"[2.890288857256749, -3.758211141893703, 3.735571632878802, -2.6257579635163495, 1.3737886387915488, -0.4532049330185757, -0.08378851074808047, 0.2340128884221393, -0.049154139939640906, -0.20104067313599483]","[0.5183098764617897, 0.6670439412609896, 0.37795112131740005]"
AlAs_b3,3.8244164201415365,-0.6152738466387291,"[3.9235860089885435, -6.212096975805444, 8.372138419962745, -8.85549786422645, 7.657357156164135, -5.411048624006835, 2.8782326328671655, -0.6381589821787914, -1.0140848772185875, 2.053071657555363]","[0.9733966110416654, 1.5473035857229593, 0.5220466314828001]"
Sn_diamond,3.1420390129778113,-0.05396332065569709,"[3.1185132469764767, -5.869982636515488, 8.354577446566992, -8.41991953204581, 5.981077714865208, -2.1613487633957007, -1.4510259218719028, 3.6017489890049497, -3.83331613196005, 2.516212580366]","[0.8343613740211495, 1.5274622883337, 0.5372075313922001]"
TiN_b1,6.694283376068885,3.323299305528323,"[3.1394799044061017, -6.791644757874948, 10.537889026370792, -11.69209121586335, 9.966449301848552, -6.219626142251549, 1.4502670937459996, 3.302932527837399, -6.904448741111036, 8.588480591728947]","[1.5676391863220651, 2.4358473769964757, 0.8052825358822]"
GaAs_b3,3.3372956295002028,-0.6926412505438648,"[3.5810693700377527, -6.21120828125585, 8.815133802442396, -9.586279001222799, 8.4096331296223, -5.968315855557323, 3.155522740398659, -0.6666572159593, -1.1438264565901353, 2.246975283196145]","[0.9411773734723745, 1.6127609736170507, 0.5460602408428]"
Nb_bcc,7.518157753827792,5.002452886077208,"[1.1785699961779983, -5.91329972526799, 10.688323589490992, -12.660200825412801, 12.079180159366686, -10.115107733779503, 7.719324162864801, -5.426057982172601, 3.6542936769108962, -2.718768638777096]","[2.0414464094364995, 3.181735673152801, 1.3859177562016]"
Rb_bcc,0.8571001645004028,-0.17134530805938653,"[0.6744628129483914, -1.365294350853489, 1.5585118476435014, -1.438492999071002, 1.7613434047311003, -2.3187234040099014, 2.3502003580035016, -1.5818948307071992, 0.6225143310796994, -0.31934014866780025]","[0.37286129726230044, 0.5772299619936714, 0.225266127804]"
TiC_b1,7.156529913571087,3.060106110607933,"[3.9382542886974576, -7.55697000168005, 11.466565413025648, -13.106499304703096, 12.113146047501552, -9.159882609625749, 5.036863508322096, -0.5943595036711553, -3.159212109801036, 5.50635842647963]","[1.3294102069258553, 2.293455808024021, 0.773653841554]"
GaP_b3,3.606766705174132,-0.6094554608070268,"[3.7417427266653576, -6.33546973498175, 8.999874303764603, -10.041530090856348, 9.3307491132361, -7.400860209438223, 4.94033248485411, -2.484504390283705, 0.3311683088885502, 1.43611286647836]","[0.9765667117462247, 1.66025519603018, 0.5174794277026]"
CaO_b1,5.533637444580548,-1.7221714487349544,"[6.94797190813965, -8.792805412027306, 9.778741053823495, -8.247787969097601, 4.717068573640056, -0.7945844131444986, -1.9564038974767008, 2.8422488932164995, -2.1659636964062994, 0.7657783101623394]","[0.9007243938488152, 1.2773389283161087, 0.5016350635268]"
ZrN_b1,7.524461574587414,1.5141107105244913,"[5.49723506231544, -9.247725615066301, 13.345809788168154, -14.939070200154148, 13.218584831470544, -8.940930426222955, 3.7625940408686986, 0.6272547746299004, -3.179440014080244, 3.715407366259379]","[1.4076869882348895, 2.3777492894782597, 0.7752424341732]"
ZrC_b1,7.931777469740698,1.2954859064880822,"[6.257028360003801, -9.915936170630403, 14.088719763536005, -16.0889108459886, 15.062964850921198, -11.5868529623392, 7.083431495928444, -3.011628976665154, 0.2584734068663632, 1.0520855038430135]","[1.161881066511679, 2.2090614449684054, 0.7375410674780001]"
NbN_b1,7.49647803980589,2.7805566061692417,"[3.4799766584664553, -7.528502362849295, 11.53401423127265, -12.812255582484397, 11.277140857554294, -7.8272746940152516, 3.4759807155723017, 0.9280361887394974, -4.640081630134398, 7.082442031137729]","[1.8715512138952892, 2.7913178780017596, 0.8938696644116001]"
V_bcc,5.332465003575946,7.15210125629163,"[-2.6289171287880038, -1.477811266868997, 5.765625919722197, -7.972902427069897, 8.047531823314998, -6.477041125286306, 4.018619269092202, -1.6276953522963993, 0.15232679626770107, 0.013591085437898442]","[2.0263516386185003, 2.9873072764742297, 1.1867341025640001]"
NbC_b1,8.258252042191806,3.0384779495431076,"[4.254841748065303, -8.25893804481889, 12.421901905197984, -14.209948003868355, 13.483300148152452, -10.96328350883035, 7.441890431996246, -3.546191472270756, -0.15235776217798858, 3.1717224590399162]","[1.634364614984829, 2.6500523752048046, 0.8667204318294]"
InP_b3,3.4720311673371675,-0.4159431485685161,"[3.28913936498256, -5.913704807620562, 8.448773932031003, -9.036550001707852, 7.57929119005091, -4.8525686599354, 1.8737381590836506, 0.567691439379896, -2.129257467120649, 2.912645347731779]","[0.9476027998152343, 1.603585351519346, 0.5322385614554]"
InAs_b3,3.0781888259675783,-0.49614519021866954,"[3.178184737122649, -5.8261712306189395, 8.27982594385675, -8.577478881533196, 6.647773373013408, -3.4273933794742035, 0.14572170800429518, 2.2480007550018506, -3.364777549303348, 3.3799850391426354]","[0.9151051098260865, 1.554787379540267, 0.554090945973]"
VC_b1,6.938880198603682,3.9264512511739866,"[2.5053645256382993, -6.303869937453399, 10.376626992776352, -12.382148084529547, 11.940546066191551, -9.3956492609903, 5.481448955178394, -1.1424254177112037, -2.6973742496009354, 5.398979457987216]","[1.63916503626848, 2.591205925531371, 0.7730858273326]"
Ni_fcc,4.476001764685645,1.8506172613164438,"[3.2736138814540254, -7.7010338986519855, 12.482221829782986, -14.078956877495003, 11.7699149425642, -7.072984070292392, 2.321249353298903, 0.7390531814643992, -1.6801707565246957, 1.1401574850774026]","[0.7565359643328016, 1.9244196634207995, 0.7906019081600001]"
VN_b1,6.245510392350379,4.330129242973172,"[1.2485348616004472, -4.930300331345805, 8.595169290351507, -9.865090604973098, 8.522704653194651, -5.148505652837848, 0.6844644725970497, 3.7825450870897495, -7.267330807481694, 9.13580300852204]","[1.8429807581314392, 2.6494688699247764, 0.7631617414644001]"
